person_gender_female,person_gender_male,person_education_Associate,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_No,previous_loan_defaults_on_file_Yes,person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,25.0,144985.0,3,2758200.0,7.9,0.21,4.0,559,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,26.0,337133.0,7,919400.0,15.96,0.03,3.0,623,0
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,26.0,333566.0,2,1838800.0,11.48,0.06,3.0,602,0
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,23.0,333399.0,1,3217900.0,11.01,0.1,4.0,609,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,25.0,154793.0,1,2758200.0,7.29,0.19,4.0,573,0
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,24.0,15229.0,1,160895.0,11.01,0.11,3.0,631,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,21.0,158338.0,0,2758200.0,5.99,0.19,4.0,623,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,22.0,331034.0,0,1103280.0,11.58,0.04,2.0,602,0
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,26.0,316466.0,6,919400.0,11.01,0.03,4.0,579,1
1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,25.0,267671.0,0,2298500.0,15.7,0.09,2.0,582,1
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,22.0,85191.0,0,2675454.0,15.99,0.34,3.0,700,1
0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,22.0,15013.0,0,137910.0,14.84,0.1,3.0,688,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,26.0,313100.0,3,2574320.0,10.99,0.09,3.0,607,0
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,25.0,311952.0,0,1838800.0,14.42,0.06,2.0,661,0
0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,24.0,306897.0,5,882624.0,6.99,0.03,2.0,562,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,25.0,301136.0,0,2298500.0,13.49,0.08,4.0,664,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,25.0,15162.0,1,275820.0,11.01,0.2,3.0,564,1
0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,22.0,69042.0,0,2574320.0,11.01,0.41,2.0,598,1
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,21.0,15307.0,0,275820.0,13.61,0.2,3.0,557,1
1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,23.0,79183.0,0,2574320.0,7.9,0.35,2.0,677,1
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,26.0,102654.0,4,2574320.0,7.49,0.27,3.0,690,1
0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,26.0,15229.0,1,560834.0,7.51,0.4,3.0,599,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,22.0,106566.0,0,2574320.0,9.91,0.26,3.0,604,1
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,21.0,15252.0,0,386148.0,13.48,0.28,4.0,663,1
0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,22.0,15432.0,3,436715.0,7.14,0.31,2.0,601,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,24.0,100332.0,1,2574320.0,15.99,0.28,4.0,634,1
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,24.0,300951.0,2,1654920.0,12.98,0.06,3.0,671,0
1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,25.0,121062.0,1,2574320.0,12.69,0.23,3.0,622,0
0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,26.0,133372.0,1,2574320.0,8.9,0.21,2.0,538,0
0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,26.0,15505.0,0,248238.0,11.01,0.17,4.0,587,1
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,22.0,130852.0,0,2574320.0,11.01,0.21,4.0,683,1
0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,23.0,182316.0,0,2574320.0,11.11,0.15,2.0,634,0
1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,24.0,83853.0,3,2537544.0,11.01,0.33,2.0,690,1
1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,21.0,15394.0,0,298805.0,15.68,0.21,3.0,518,1
1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,22.0,85243.0,0,2528350.0,13.06,0.32,3.0,583,1
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,22.0,288907.0,2,2298500.0,11.01,0.09,2.0,617,0
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,26.0,89074.0,4,2486977.0,15.62,0.3,2.0,668,1
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,24.0,100509.0,2,2482380.0,13.49,0.27,2.0,673,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,24.0,88950.0,3,2482380.0,11.01,0.3,3.0,706,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,23.0,75894.0,1,2390440.0,11.71,0.34,2.0,536,1
0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,23.0,145092.0,0,2353664.0,12.69,0.18,3.0,557,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,24.0,15928.0,1,147104.0,13.57,0.1,3.0,689,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,22.0,73131.0,3,2342171.5,10.99,0.35,3.0,681,1
0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,25.0,281501.0,4,1838800.0,14.27,0.07,4.0,623,0
1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,24.0,281775.0,0,1838800.0,8.88,0.07,4.0,595,0
0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,26.0,281792.0,1,1985904.0,12.18,0.08,3.0,584,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,25.0,266090.0,4,1094086.0,14.42,0.04,3.0,669,1
0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,26.0,279664.0,3,2298500.0,14.17,0.09,2.0,642,0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,25.0,277017.0,4,3217900.0,13.99,0.13,4.0,622,0
0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,23.0,100756.0,0,2326082.0,10.99,0.25,3.0,689,1
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,22.0,16218.0,1,183880.0,5.42,0.12,4.0,614,1
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,25.0,16211.0,2,160895.0,13.61,0.11,3.0,597,0
1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,21.0,51922.0,3,2298500.0,12.73,0.48,3.0,673,1
0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,24.0,50309.0,3,2298500.0,11.01,0.5,3.0,625,1
0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,25.0,16378.0,0,275820.0,12.87,0.18,4.0,603,1
0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,24.0,16572.0,0,335581.0,9.91,0.22,3.0,589,1
0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,26.0,272201.0,5,1838800.0,11.49,0.07,4.0,670,0
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,25.0,271324.0,3,2758200.0,19.91,0.11,2.0,637,0
0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,26.0,256862.0,2,3217900.0,10.65,0.14,2.0,643,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,24.0,271342.0,0,551640.0,11.01,0.02,4.0,508,0
0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,24.0,16470.0,2,413730.0,11.83,0.27,4.0,643,1
0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,23.0,16599.0,0,220656.0,13.49,0.14,2.0,505,1
0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,22.0,51608.0,0,2298500.0,14.59,0.48,2.0,593,1
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,26.0,58516.0,6,2298500.0,9.64,0.43,4.0,686,1
1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,25.0,16395.0,4,330984.0,14.59,0.22,3.0,646,1
1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22.0,16890.0,0,436715.0,11.01,0.28,3.0,645,1
1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,25.0,51747.0,3,2298500.0,16.35,0.48,3.0,697,1
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,21.0,59864.0,0,2298500.0,10.99,0.42,2.0,648,1
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,25.0,270972.0,1,2298500.0,18.67,0.09,2.0,640,0
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,26.0,270870.0,5,275820.0,9.32,0.01,4.0,681,0
1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,23.0,270729.0,0,689550.0,8.63,0.03,2.0,646,0
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,26.0,270877.0,4,2298500.0,10.08,0.09,2.0,615,0
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,22.0,60501.0,0,2298500.0,11.83,0.41,3.0,687,1
0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,23.0,60754.0,1,2298500.0,7.9,0.41,3.0,650,1
0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,25.0,60829.0,0,2298500.0,5.99,0.41,2.0,588,1
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,24.0,53825.0,2,2298500.0,15.33,0.46,2.0,652,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,23.0,60801.0,0,2298500.0,11.83,0.41,4.0,658,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,22.0,60747.0,0,2298500.0,10.36,0.41,2.0,634,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,22.0,61029.0,0,2298500.0,12.23,0.41,3.0,623,1
1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,22.0,63236.0,0,2298500.0,11.11,0.4,4.0,635,1
1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,23.0,17149.0,0,455103.0,7.9,0.29,4.0,531,1
1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,24.0,265066.0,4,2298500.0,11.58,0.09,2.0,665,0
0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,23.0,260205.0,2,1930740.0,8.9,0.08,3.0,703,0
1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,25.0,260035.0,5,2298500.0,16.07,0.1,3.0,585,0
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,26.0,260444.0,4,1838800.0,14.22,0.08,2.0,594,0
0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,23.0,258980.0,0,3217900.0,14.79,0.14,3.0,618,0
0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,26.0,259081.0,2,1103280.0,7.88,0.05,2.0,626,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,23.0,63497.0,0,2298500.0,13.22,0.39,2.0,695,1
1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,26.0,56325.0,2,2298500.0,11.86,0.44,4.0,690,1
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,22.0,64842.0,0,2298500.0,13.43,0.39,4.0,574,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,26.0,57856.0,0,2298500.0,15.28,0.43,2.0,602,1
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,23.0,57318.0,0,2298500.0,17.93,0.44,2.0,679,1
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,23.0,16916.0,2,128716.0,9.25,0.08,4.0,615,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,21.0,16664.0,0,413730.0,12.98,0.27,4.0,601,1
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,22.0,252803.0,0,1471040.0,10.62,0.06,4.0,577,0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,26.0,253061.0,3,2022680.0,11.83,0.09,4.0,588,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,26.0,58602.0,8,2298500.0,18.43,0.43,2.0,595,1
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,22.0,67012.0,2,2298500.0,11.01,0.37,4.0,653,1
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,24.0,66643.0,3,2298500.0,11.01,0.38,4.0,663,1
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,23.0,66599.0,0,2298500.0,11.36,0.38,3.0,653,1
0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,23.0,67212.0,2,2298500.0,15.65,0.37,3.0,598,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,24.0,66918.0,1,2298500.0,13.22,0.37,4.0,630,1
0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,26.0,68066.0,2,2298500.0,12.87,0.37,2.0,637,1
0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,24.0,245545.0,1,1838800.0,13.04,0.08,3.0,660,0
0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,23.0,229083.0,0,2022680.0,17.58,0.1,3.0,639,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,23.0,17859.0,0,712535.0,17.04,0.43,4.0,626,1
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,24.0,72608.0,3,2298500.0,10.99,0.34,3.0,612,1
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,24.0,73073.0,1,2298500.0,11.11,0.34,3.0,628,1
1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,26.0,65880.0,2,2298500.0,14.83,0.38,2.0,592,1
0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,23.0,17755.0,1,367760.0,11.01,0.23,3.0,580,1
0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,24.0,241180.0,3,1103280.0,12.69,0.05,2.0,634,0
0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,24.0,240894.0,3,1103280.0,13.49,0.05,2.0,678,0
0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,21.0,240980.0,0,1471040.0,14.65,0.07,4.0,557,0
0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,25.0,65742.0,3,2298500.0,16.82,0.38,4.0,672,1
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,23.0,72713.0,0,2298500.0,12.73,0.34,3.0,613,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,23.0,72627.0,3,2298500.0,10.25,0.34,4.0,566,1
0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,21.0,72843.0,0,2298500.0,10.99,0.34,4.0,718,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,25.0,75504.0,4,2298500.0,12.73,0.33,2.0,484,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,22.0,68824.0,0,2298500.0,14.96,0.36,3.0,634,1
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,23.0,241167.0,2,2574320.0,11.01,0.12,2.0,653,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,21.0,241060.0,0,2298500.0,13.99,0.1,2.0,699,0
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,24.0,240855.0,0,2206560.0,7.49,0.1,4.0,656,0
0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,26.0,241030.0,3,1379100.0,14.79,0.06,3.0,626,0
0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,25.0,240895.0,2,1425070.0,11.99,0.06,2.0,659,0
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,24.0,240932.0,4,919400.0,8.49,0.04,4.0,604,0
0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,24.0,80145.0,1,2298500.0,9.91,0.31,2.0,636,1
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,22.0,80303.0,0,2298500.0,13.06,0.31,3.0,554,1
0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,22.0,241048.0,0,827460.0,6.17,0.04,4.0,587,0
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,25.0,241005.0,4,1654920.0,16.32,0.07,3.0,708,0
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,25.0,240768.0,2,1103280.0,10.38,0.05,2.0,669,0
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,25.0,241201.0,2,2119217.0,14.35,0.1,3.0,578,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,24.0,240920.0,5,1838800.0,11.01,0.08,3.0,615,0
1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,24.0,72919.0,1,2298500.0,11.01,0.34,2.0,553,1
0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,21.0,18008.0,0,275820.0,11.01,0.17,4.0,635,1
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,26.0,81238.0,3,2298500.0,15.21,0.31,2.0,531,1
